# frame  Ti_index  nn_rank  nn_index  nn_symbol  distance_A
26 10 4 11 O 1.9956883524237945
27 0 1 12 O 1.7935177724237916
27 0 2 8 O 1.8091066856324423
27 0 3 14 O 1.9135521942189084
27 0 4 6 O 1.9379932920420548
27 1 1 4 O 1.7773288947181383
27 1 2 6 O 1.8147016283675947
27 1 3 3 O 1.8314368675987718
27 1 4 14 O 1.9697847598151428
27 2 1 5 O 1.7053548017934568
27 2 2 11 O 1.8190470032409827
27 2 3 14 O 1.967961889874903
27 2 4 4 O 2.027528544805227
27 9 1 13 O 1.6323859837673196
27 9 2 3 O 1.8454939718135088
27 9 3 8 O 1.9510427980954186
27 9 4 6 O 2.461210474542964
27 10 1 7 O 1.5969286145598367
27 10 2 12 O 1.9560311858454607
27 10 3 5 O 1.9712785191342193
27 10 4 11 O 1.9979699697442903
28 0 1 12 O 1.7884490487570508
28 0 2 8 O 1.8027412459917813
28 0 3 14 O 1.9107870106320064
28 0 4 6 O 1.9433399085080305
28 1 1 4 O 1.7777935763186907
28 1 2 6 O 1.809509325756571
28 1 3 3 O 1.8331273823714487
28 1 4 14 O 1.9756034521127968
28 2 1 5 O 1.706800808530392
28 2 2 11 O 1.8206067669873138
28 2 3 14 O 1.9736144506969946
28 2 4 4 O 2.030525793975541
28 9 1 13 O 1.6270968010539508
28 9 2 3 O 1.8382279510441573
28 9 3 8 O 1.9563118360833993
28 9 4 6 O 2.460585702632607
28 10 1 7 O 1.5968005511021095
28 10 2 12 O 1.9586600011232167
28 10 3 5 O 1.9731343086571678
28 10 4 11 O 2.000090247963826
29 0 1 12 O 1.7842295255936103
29 0 2 8 O 1.7956377697074652
29 0 3 14 O 1.9089342576422061
29 0 4 6 O 1.9486975137255143
29 1 1 4 O 1.7768759101299112
29 1 2 6 O 1.8061721955561159
29 1 3 3 O 1.8372754284537742
29 1 4 14 O 1.9814908528681123
29 2 1 5 O 1.709270604673233
29 2 2 11 O 1.8204230277603062
29 2 3 14 O 1.9797408921371502
29 2 4 4 O 2.0348503630488413
29 9 1 13 O 1.6224099358670112
29 9 2 3 O 1.8316653624502486
29 9 3 8 O 1.9609880162815887
29 9 4 6 O 2.460921981697104
29 10 1 7 O 1.5989427757115016
29 10 2 12 O 1.9609398256958321
29 10 3 5 O 1.9765338347723773
29 10 4 11 O 2.0018721237881305
30 0 1 12 O 1.7791714363714364
30 0 2 8 O 1.7889172703062597
30 0 3 14 O 1.9061009941763316
30 0 4 6 O 1.952683538108518
30 1 1 4 O 1.7785210147760413
30 1 2 6 O 1.801933961054067
30 1 3 3 O 1.840274707754253
30 1 4 14 O 1.9869036212156843
30 2 1 5 O 1.7126371477928417
30 2 2 11 O 1.821237491377772
30 2 3 14 O 1.9862006444465776
30 2 4 4 O 2.037187767487327
30 9 1 13 O 1.616998763141147
30 9 2 3 O 1.8253528426033145
30 9 3 8 O 1.9661469934875164
30 9 4 6 O 2.461748565552542
30 10 1 7 O 1.6024191087228083
30 10 2 12 O 1.9641499433597223
30 10 3 5 O 1.9796681540096563
30 10 4 11 O 2.0018806158210336
31 0 1 12 O 1.7753889714651265
31 0 2 8 O 1.7812832453037895
31 0 3 14 O 1.9043922915197908
31 0 4 6 O 1.956520891787256
31 1 1 4 O 1.7790281054553354
31 1 2 6 O 1.7987751388097402
31 1 3 3 O 1.84279597351416
31 1 4 14 O 1.991544124542562
31 2 1 5 O 1.7156721714826522
31 2 2 11 O 1.8194287565057337
31 2 3 14 O 1.9922733246219004
31 2 4 4 O 2.0398465628571185
31 9 1 13 O 1.6139101585900006
31 9 2 3 O 1.8203224988995768
31 9 3 8 O 1.9702987083181067
31 9 4 6 O 2.462094433607289
31 10 1 7 O 1.6078243063220559
31 10 2 12 O 1.9663270328203293
31 10 3 5 O 1.9833985983659463
31 10 4 11 O 2.002352116886538
32 0 1 12 O 1.770419441827275
32 0 2 8 O 1.7747746335802752
32 0 3 14 O 1.9024891589704265
32 0 4 6 O 1.9606662133060795
32 1 1 4 O 1.779739868632492
32 1 2 6 O 1.7955714967664194
32 1 3 3 O 1.8446484759975272
32 1 4 14 O 1.994871925713528
32 2 1 5 O 1.7201122056424112
32 2 2 11 O 1.8181622589857047
32 2 3 14 O 1.9979594590481558
32 2 4 4 O 2.0425156058155345
32 9 1 13 O 1.609939439854804
32 9 2 3 O 1.8160892048575148
32 9 3 8 O 1.9744806912198456
32 9 4 6 O 2.462514365440332
32 10 1 7 O 1.6164318729844445
32 10 2 12 O 1.9679202219602296
32 10 3 5 O 1.9859723059499093
32 10 4 11 O 2.000889802063072
33 0 1 12 O 1.7678170154176027
33 0 2 8 O 1.7678407733729868
33 0 3 14 O 1.8997391926261877
33 0 4 6 O 1.9634339815741195
33 1 1 4 O 1.7814294821855845
33 1 2 6 O 1.792411225137803
33 1 3 3 O 1.8472295471868136
33 1 4 14 O 1.9995664530092516
33 2 1 5 O 1.7238709348440213
33 2 2 11 O 1.8164146002496238
33 2 3 14 O 2.0036469249845394
33 2 4 4 O 2.04487065605627
33 9 1 13 O 1.6065970247700572
33 9 2 3 O 1.8135638946560444
33 9 3 8 O 1.9788484024805943
33 9 4 6 O 2.465132247973727
33 10 1 7 O 1.6250901513454565
33 10 2 12 O 1.9692805792979327
33 10 3 5 O 1.9897778770506018
33 10 4 11 O 1.9992611135116896
34 0 1 8 O 1.760564682140364
34 0 2 12 O 1.764456006819099
34 0 3 14 O 1.8979349303914503
34 0 4 6 O 1.9663572920504555
34 1 1 4 O 1.7826525180191455
34 1 2 6 O 1.790330974987586
34 1 3 3 O 1.8488812833711092
34 1 4 14 O 2.0030429351364387
34 2 1 5 O 1.72834429440433
34 2 2 11 O 1.8137940897466833
34 2 3 14 O 2.0093357111244505
34 2 4 4 O 2.046573966413137
34 9 1 13 O 1.6041835929842942
34 9 2 3 O 1.8126933000372678
34 9 3 8 O 1.9822272826293152
34 9 4 6 O 2.4668534613957105
34 10 1 7 O 1.6356457440411722
34 10 2 12 O 1.9698418718262642
34 10 3 5 O 1.9920886024471902
34 10 4 11 O 1.9976356024060045
35 0 1 8 O 1.7548313309261376
35 0 2 12 O 1.7615146891241074
35 0 3 14 O 1.8961872270427307
35 0 4 6 O 1.9678998958280374
35 1 1 4 O 1.783877518216988
35 1 2 6 O 1.788358185599294
35 1 3 3 O 1.8493190638718893
35 1 4 14 O 2.0064583225175645
35 2 1 5 O 1.7333669548021273
35 2 2 11 O 1.8108464871435126
35 2 3 14 O 2.0153620022219334
35 2 4 4 O 2.0475956632108794
35 9 1 13 O 1.602688366464298
35 9 2 3 O 1.811551820953516
35 9 3 8 O 1.9847410410428863
35 9 4 6 O 2.4699493921940987
35 10 1 7 O 1.6456916479097776
35 10 2 12 O 1.9711078103442237
35 10 3 11 O 1.9956815878290806
35 10 4 5 O 1.9959321130739893
36 0 1 8 O 1.7498031317836873
36 0 2 12 O 1.7594163805080365
36 0 3 14 O 1.893460324379679
36 0 4 6 O 1.9696030056841403
36 1 1 6 O 1.786499930030785
36 1 2 4 O 1.786533514938917
36 1 3 3 O 1.8495291292650677
36 1 4 14 O 2.008743388290301
36 2 1 5 O 1.7384136446772382
36 2 2 11 O 1.8070935227596827
36 2 3 14 O 2.0213446019914567
36 2 4 4 O 2.047644012029435
36 9 1 13 O 1.6015898351325784
36 9 2 3 O 1.8123192323649826
36 9 3 8 O 1.98760006037432
36 9 4 6 O 2.473508641585875
36 10 1 7 O 1.655418074082798
36 10 2 12 O 1.971694956122777
36 10 3 11 O 1.9925988055802903
